case_id,category,evaluation_layer,query,expected_documents,expected_sections,synthetic
CIT-EVAL-001,citations,,Verify citation validity for Section 1 of SYN-ACT-001 against KB provenance.,SYN-ACT-001,,True
CIT-EVAL-002,citations,,Verify citation validity for Section 1 of SYN-ACT-002 against KB provenance.,SYN-ACT-002,,True
CIT-EVAL-003,citations,,Verify citation validity for Section 1 of SYN-ACT-003 against KB provenance.,SYN-ACT-003,,True
CIT-EVAL-004,citations,,Verify citation validity for Section 1 of SYN-ACT-004 against KB provenance.,SYN-ACT-004,,True
CIT-EVAL-005,citations,,Verify citation validity for Section 1 of SYN-ACT-005 against KB provenance.,SYN-ACT-005,,True
CIT-EVAL-006,citations,,Verify citation validity for Section 1 of SYN-ACT-006 against KB provenance.,SYN-ACT-006,,True
CIT-EVAL-007,citations,,Verify citation validity for Section 1 of SYN-ACT-007 against KB provenance.,SYN-ACT-007,,True
CIT-EVAL-008,citations,,Verify citation validity for Section 1 of SYN-ACT-008 against KB provenance.,SYN-ACT-008,,True
CIT-EVAL-009,citations,,Verify citation validity for Section 1 of SYN-ACT-009 against KB provenance.,SYN-ACT-009,,True
CIT-EVAL-010,citations,,Verify citation validity for Section 1 of SYN-ACT-010 against KB provenance.,SYN-ACT-010,,True
CIT-EVAL-011,citations,,Verify citation validity for Section 1 of SYN-ACT-011 against KB provenance.,SYN-ACT-011,,True
CIT-EVAL-012,citations,,Verify citation validity for Section 1 of SYN-ACT-012 against KB provenance.,SYN-ACT-012,,True
CIT-EVAL-013,citations,,Verify citation validity for Section 1 of SYN-ACT-013 against KB provenance.,SYN-ACT-013,,True
CIT-EVAL-014,citations,,Verify citation validity for Section 1 of SYN-ACT-014 against KB provenance.,SYN-ACT-014,,True
CIT-EVAL-015,citations,,Verify citation validity for Section 1 of SYN-ACT-015 against KB provenance.,SYN-ACT-015,,True
CLAUSE-001,clauses,,Analyze Clause 7 of SYN-CONT-001 for indemnity and liability risks.,SYN-CONT-001,,True
CLAUSE-002,clauses,,Analyze Clause 7 of SYN-CONT-002 for indemnity and liability risks.,SYN-CONT-002,,True
CLAUSE-003,clauses,,Analyze Clause 7 of SYN-CONT-003 for indemnity and liability risks.,SYN-CONT-003,,True
CLAUSE-004,clauses,,Analyze Clause 7 of SYN-CONT-004 for indemnity and liability risks.,SYN-CONT-004,,True
CLAUSE-005,clauses,,Analyze Clause 7 of SYN-CONT-005 for indemnity and liability risks.,SYN-CONT-005,,True
CLAUSE-006,clauses,,Analyze Clause 7 of SYN-CONT-006 for indemnity and liability risks.,SYN-CONT-006,,True
CLAUSE-007,clauses,,Analyze Clause 7 of SYN-CONT-007 for indemnity and liability risks.,SYN-CONT-007,,True
CLAUSE-008,clauses,,Analyze Clause 7 of SYN-CONT-008 for indemnity and liability risks.,SYN-CONT-008,,True
CLAUSE-009,clauses,,Analyze Clause 7 of SYN-CONT-009 for indemnity and liability risks.,SYN-CONT-009,,True
CLAUSE-010,clauses,,Analyze Clause 7 of SYN-CONT-010 for indemnity and liability risks.,SYN-CONT-010,,True
OBL-001,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-001.,SYN-ACT-001,,True
OBL-002,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-002.,SYN-ACT-002,,True
OBL-003,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-003.,SYN-ACT-003,,True
OBL-004,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-004.,SYN-ACT-004,,True
OBL-005,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-005.,SYN-ACT-005,,True
OBL-006,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-006.,SYN-ACT-006,,True
OBL-007,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-007.,SYN-ACT-007,,True
OBL-008,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-008.,SYN-ACT-008,,True
OBL-009,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-009.,SYN-ACT-009,,True
OBL-010,clauses,,Extract all affirmative compliance duties under Section 5 of SYN-ACT-010.,SYN-ACT-010,,True
COMP-001,comparison,,Compare liability and termination provisions in SYN-CONT-001 and SYN-CONT-002.,SYN-CONT-001|SYN-CONT-002,,True
COMP-002,comparison,,Compare liability and termination provisions in SYN-CONT-002 and SYN-CONT-003.,SYN-CONT-002|SYN-CONT-003,,True
COMP-003,comparison,,Compare liability and termination provisions in SYN-CONT-003 and SYN-CONT-004.,SYN-CONT-003|SYN-CONT-004,,True
COMP-004,comparison,,Compare liability and termination provisions in SYN-CONT-004 and SYN-CONT-005.,SYN-CONT-004|SYN-CONT-005,,True
COMP-005,comparison,,Compare liability and termination provisions in SYN-CONT-005 and SYN-CONT-006.,SYN-CONT-005|SYN-CONT-006,,True
COMP-006,comparison,,Compare liability and termination provisions in SYN-CONT-006 and SYN-CONT-007.,SYN-CONT-006|SYN-CONT-007,,True
COMP-007,comparison,,Compare liability and termination provisions in SYN-CONT-007 and SYN-CONT-008.,SYN-CONT-007|SYN-CONT-008,,True
COMP-008,comparison,,Compare liability and termination provisions in SYN-CONT-008 and SYN-CONT-009.,SYN-CONT-008|SYN-CONT-009,,True
COMP-009,comparison,,Compare liability and termination provisions in SYN-CONT-009 and SYN-CONT-010.,SYN-CONT-009|SYN-CONT-010,,True
COMP-010,comparison,,Compare liability and termination provisions in SYN-CONT-010 and SYN-CONT-011.,SYN-CONT-010|SYN-CONT-011,,True
GRD-EVAL-001,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-001 is fully supported.,SYN-ACT-001,,True
GRD-EVAL-002,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-002 is fully supported.,SYN-ACT-002,,True
GRD-EVAL-003,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-003 is fully supported.,SYN-ACT-003,,True
GRD-EVAL-004,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-004 is fully supported.,SYN-ACT-004,,True
GRD-EVAL-005,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-005 is fully supported.,SYN-ACT-005,,True
GRD-EVAL-006,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-006 is fully supported.,SYN-ACT-006,,True
GRD-EVAL-007,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-007 is fully supported.,SYN-ACT-007,,True
GRD-EVAL-008,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-008 is fully supported.,SYN-ACT-008,,True
GRD-EVAL-009,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-009 is fully supported.,SYN-ACT-009,,True
GRD-EVAL-010,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-010 is fully supported.,SYN-ACT-010,,True
GRD-EVAL-011,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-011 is fully supported.,SYN-ACT-011,,True
GRD-EVAL-012,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-012 is fully supported.,SYN-ACT-012,,True
GRD-EVAL-013,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-013 is fully supported.,SYN-ACT-013,,True
GRD-EVAL-014,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-014 is fully supported.,SYN-ACT-014,,True
GRD-EVAL-015,grounding,,Verify whether the 30-day notice requirement under Section 1 of SYN-ACT-015 is fully supported.,SYN-ACT-015,,True
QA-CONTRA-001,qa,,Does the termination notice require 30 days or 90 days under agreement SYN-CONT-001 vs SYN-CONT-002?,SYN-CONT-001|SYN-CONT-002,,True
QA-CONTRA-002,qa,,Does the termination notice require 30 days or 90 days under agreement SYN-CONT-002 vs SYN-CONT-003?,SYN-CONT-002|SYN-CONT-003,,True
QA-CONTRA-003,qa,,Does the termination notice require 30 days or 90 days under agreement SYN-CONT-003 vs SYN-CONT-004?,SYN-CONT-003|SYN-CONT-004,,True
QA-CONTRA-004,qa,,Does the termination notice require 30 days or 90 days under agreement SYN-CONT-004 vs SYN-CONT-005?,SYN-CONT-004|SYN-CONT-005,,True
QA-CONTRA-005,qa,,Does the termination notice require 30 days or 90 days under agreement SYN-CONT-005 vs SYN-CONT-006?,SYN-CONT-005|SYN-CONT-006,,True
QA-CONTRA-006,qa,,Does the termination notice require 30 days or 90 days under agreement SYN-CONT-006 vs SYN-CONT-007?,SYN-CONT-006|SYN-CONT-007,,True
